WA1,WA2,ApL1,ApL2,MaxP,MaxV2,MaxV3,MaxM2,MaxM3,MaxT,U1,U2,U3,R1,R2,R3,PGA,fc,Ec,fy,fu
393.78603075, 496.81469565, 7.00000000, 6.00000000, -7154.91337229, -1283.83847679, -88.58997674, 847.73770018, 4742.31356642, 106.93262220, -0.00001473, 0.01538872, -0.00018174, 0.00122966, -0.00000518, 0.00014296,0.24520000, 29.65801633, 26167.67181702, 492.53506928, 714.03846819
519.91916305, 884.18717730, 9.00000000, 9.00000000, -12341.61477270, 1698.40972636, -188.64548441, 1352.82144915, 5709.94246383, 311.83622989, 0.00221178, 0.09421990, 0.00045081, 0.00260238, 0.00034885, 0.00054913,0.78320000, 33.07345325, 27188.83592224, 393.82328337, 675.60782189
703.55849095, 417.57696365, 5.00000000, 9.00000000, -10803.93952032, -1634.34490712, -163.22664264, 1278.16726180, 5495.61764555, 273.21009950, -0.00006724, 0.04728259, 0.00047540, 0.00219957, -0.00006621, 0.00029296,1.02670000, 34.19195739, 28307.78612571, 528.69466577, 725.65678753
102.08722650, 619.89795980, 2.00000000, 9.00000000, -11360.93924348, -1659.01825150, -243.57334903, 1755.10289321, 5554.36100546, 365.26239048, 0.00079716, 0.05146550, 0.00085845, 0.00252664, 0.00012149, 0.00040156,0.82380000, 33.64275380, 28414.23400799, 575.85797149, 684.65614346
45.46362940, 269.86920135, 1.00000000, 4.00000000, -9380.30378488, 1587.96653170, -140.36013868, 995.00129364, 5305.17777972, 209.98229179, -0.00126017, 0.04114283, 0.00026182, 0.00217117, -0.00028696, 0.00031758,0.19130000, 29.71407634, 26313.63342752, 419.64422812, 655.50259650
372.34869385, 680.65015655, 9.00000000, 9.00000000, -7363.12279388, -1222.33659316, -75.48671481, 719.21809909, 4799.57869063, 87.04418034, -0.00041738, 0.01286531, -0.00021940, 0.00117859, -0.00010741, 0.00016348,0.52740000, 32.03749120, 26568.27425729, 472.42662573, 733.71228679
675.76644485, 560.79328025, 7.00000000, 9.00000000, -11170.69812684, -1607.12932163, -162.37724134, 1288.37778590, 5384.23789956, 294.46863393, -0.00013136, 0.04756063, 0.00040211, 0.00234907, -0.00007325, 0.00024825,1.02670000, 32.67613604, 26185.47957693, 420.78401818, 703.92592435
315.00921130, 1104.90544885, 9.00000000, 9.00000000, -13057.55326066, -1905.40494240, -216.18586339, 1563.79423972, 6423.75017248, 505.33444032, 0.00498699, 0.15103373, 0.00081458, 0.00315654, 0.00083278, 0.00094908,0.27290000, 35.72324323, 27798.79929075, 411.07973921, 636.77546903
393.78603075, 496.81469565, 7.00000000, 6.00000000, -7154.91337229, -1283.83847679, -88.58997674, 847.73770018, 4742.31356642, 106.93262220, -0.00001473, 0.01538872, -0.00018174, 0.00122966, -0.00000518, 0.00014296,0.24520000, 29.65801633, 26167.67181702, 492.53506928, 714.03846819
519.91916305, 884.18717730, 9.00000000, 9.00000000, -12341.61477271, 1698.40972636, -188.64548441, 1352.82144914, 5709.94246381, 311.83622989, 0.00221178, 0.09421990, 0.00045081, 0.00260238, 0.00034885, 0.00054913,0.78320000, 33.07345325, 27188.83592224, 393.82328337, 675.60782189
703.55849095, 417.57696365, 5.00000000, 9.00000000, -10803.93952032, -1634.34490712, -163.22664264, 1278.16726180, 5495.61764556, 273.21009950, -0.00006724, 0.04728259, 0.00047540, 0.00219957, -0.00006621, 0.00029296,1.02670000, 34.19195739, 28307.78612571, 528.69466577, 725.65678753
610.72874205, 287.03083885, 9.00000000, 3.00000000, -12895.63092730, 1876.35248006, -237.08091280, 1741.69763821, 6320.24569090, 452.74820352, 0.00425069, 0.15034895, 0.00078966, 0.00366346, 0.00071889, 0.00085032,0.27290000, 26.11840801, 23715.32194892, 417.58855344, 834.83647368
210.74490850, 486.37061340, 4.00000000, 9.00000000, -7082.59580212, -1249.98722130, -81.13798122, 771.92957098, 4887.41560075, 83.44238093, -0.00067688, 0.01290842, -0.00015373, 0.00110720, -0.00016071, 0.00015672,0.52740000, 36.55654095, 28595.11130224, 487.24890492, 630.78054866
977.24247915, 752.44464120, 9.00000000, 9.00000000, -7984.34203273, -1381.34565931, -109.59900238, 862.30782571, 5102.43098325, 112.45752798, -0.00030731, 0.01993047, -0.00018385, 0.00124446, -0.00004786, 0.00012515,0.65880000, 36.67350889, 29164.47684288, 449.40568314, 713.97902194
578.46486355, 578.46486355, 9.00000000, 9.00000000, -9885.35640668, -1565.70931471, -130.31086197, 915.19186624, 5232.82235872, 229.92073825, -0.00069162, 0.04520856, 0.00024722, 0.00226953, -0.00015404, 0.00030718,0.44720000, 25.99888348, 24497.54219652, 480.15616617, 720.79401136
322.84472465, 609.36561770, 9.00000000, 9.00000000, -9096.29492587, -1564.69557945, -105.14193967, 849.34420726, 5252.07748634, 179.32102373, -0.00003220, 0.03732754, 0.00010606, 0.00205195, -0.00001806, 0.00030987,0.40310000, 30.36859374, 25735.43481756, 429.91095270, 656.38096206
706.35338620, 704.06843675, 6.00000000, 9.00000000, -8548.71073532, -1564.30042208, -169.67630785, 1484.15389354, 5288.60199791, 154.79876870, 0.00071686, 0.02624473, 0.00014227, 0.00158293, 0.00010592, 0.00021953,0.97500000, 34.06093113, 27006.31151639, 448.10683559, 737.57772263
718.49401890, 340.49669465, 9.00000000, 9.00000000, -7363.06176061, 1301.91667746, -92.40474394, 871.29083454, 4878.20160786, 116.70320992, -0.00009976, 0.01498898, -0.00020741, 0.00121656, -0.00001883, 0.00012663,0.24520000, 32.88441997, 27576.41763710, 470.22540840, 676.32583156
383.15562215, 716.40520245, 4.00000000, 9.00000000, -7297.32983431, -1534.65213090, -100.68607072, 872.17632341, 5196.60254433, 99.43986088, -0.00050456, 0.02208058, -0.00007121, 0.00122774, -0.00010248, 0.00015025,0.65880000, 28.47701667, 24897.18115882, 450.31424729, 782.45759589
662.50785405, 879.21520575, 9.00000000, 9.00000000, -10270.95962218, -1559.71121131, -129.62645900, 883.68581214, 5199.87227538, 232.22399440, -0.00052261, 0.04447969, 0.00018096, 0.00213286, -0.00012229, 0.00030015,0.44720000, 31.84897954, 26913.07357147, 450.78410341, 733.41647704
574.71872325, 615.19076780, 9.00000000, 9.00000000, -8762.91029210, 1474.68068306, -172.09511252, 1478.96844813, 4933.97827938, 146.05029065, 0.00078096, 0.02770693, 0.00006335, 0.00184586, 0.00013187, 0.00022684,0.97500000, 23.22517157, 22097.45182809, 509.01646928, 681.14727378
279.91121095, 1171.68873535, 4.00000000, 9.00000000, -8762.91029210, -1472.68407659, -172.09511252, 1478.96844813, 4916.16059973, 146.05029065, -0.00167472, 0.00126499, -0.00078496, -0.00003702, -0.00033264, 0.00004554,0.00000000, 32.75159566, 27144.90711809, 433.88072825, 706.89681632
102.08722650, 619.89795980, 2.00000000, 9.00000000, -11360.93924352, -1659.01825150, -243.57334903, 1755.10289321, 5554.36100545, 365.26239049, 0.00079716, 0.05146550, 0.00085845, 0.00252664, 0.00012149, 0.00040156,0.82380000, 33.64275380, 28414.23400799, 575.85797149, 684.65614346
45.46362940, 269.86920135, 1.00000000, 4.00000000, -9380.30378488, 1587.96653170, -140.36013868, 995.00129364, 5305.17777972, 209.98229179, -0.00126017, 0.04114283, 0.00026182, 0.00217117, -0.00028696, 0.00031758,0.19130000, 29.71407634, 26313.63342752, 419.64422812, 655.50259650
372.34869385, 680.65015655, 9.00000000, 9.00000000, -7363.12279388, -1222.33659316, -75.48671481, 719.21809909, 4799.57869063, 87.04418034, -0.00041738, 0.01286531, -0.00021940, 0.00117859, -0.00010741, 0.00016348,0.52740000, 32.03749120, 26568.27425729, 472.42662573, 733.71228679
675.76644485, 560.79328025, 7.00000000, 9.00000000, -11170.69812685, -1607.12932163, -162.37724134, 1288.37778590, 5384.23789956, 294.46863393, -0.00013136, 0.04756063, 0.00040211, 0.00234907, -0.00007325, 0.00024825,1.02670000, 32.67613604, 26185.47957693, 420.78401818, 703.92592435
102.08722650, 619.89795980, 2.00000000, 9.00000000, -11360.93924347, -1659.01825149, -243.57334903, 1755.10289322, 5554.36100545, 365.26239049, 0.00079716, 0.05146550, 0.00085845, 0.00252664, 0.00012149, 0.00040156,0.82380000, 33.64275380, 28414.23400799, 575.85797149, 684.65614346
72.96147600, 600.44156620, 1.00000000, 9.00000000, -11360.93924347, -1659.01825149, -243.57334903, 1755.10289322, 5554.36100545, 365.26239049, -0.00226007, 0.00053823, -0.00075699, 0.00001707, -0.00043776, 0.00002724,0.00000000, 37.82597943, 30068.29824835, 486.06750299, 668.67159071
45.46362940, 269.86920135, 1.00000000, 4.00000000, -9380.30378488, 1587.96653170, -140.36013867, 995.00129364, 5305.17777972, 209.98229179, -0.00126017, 0.04114283, 0.00026182, 0.00217117, -0.00028696, 0.00031758,0.19130000, 29.71407634, 26313.63342752, 419.64422812, 655.50259650
372.34869385, 680.65015655, 9.00000000, 9.00000000, -7363.12279387, -1222.33659316, -75.48671481, 719.21809910, 4799.57869063, 87.04418034, -0.00041738, 0.01286531, -0.00021940, 0.00117859, -0.00010741, 0.00016348,0.52740000, 32.03749120, 26568.27425729, 472.42662573, 733.71228679
675.76644485, 560.79328025, 7.00000000, 9.00000000, -11170.69812684, -1607.12932163, -162.37724134, 1288.37778590, 5384.23789956, 294.46863393, -0.00013136, 0.04756063, 0.00040211, 0.00234907, -0.00007325, 0.00024825,1.02670000, 32.67613604, 26185.47957693, 420.78401818, 703.92592435
941.10497390, 171.28294890, 9.00000000, 3.00000000, -11170.69812684, -1607.12932163, -162.37724134, 1288.37778590, 5384.23789956, 294.46863393, -0.00232545, -0.00072715, -0.00078926, 0.00010370, -0.00043648, -0.00005507,0.00000000, 34.42785527, 28568.63979482, 521.58010212, 736.53873062
315.00921130, 1104.90544885, 9.00000000, 9.00000000, -13057.55326068, -1905.40494240, -216.18586339, 1563.79423972, 6423.75017248, 505.33444032, 0.00498699, 0.15103373, 0.00081458, 0.00315654, 0.00083278, 0.00094908,0.27290000, 35.72324323, 27798.79929075, 411.07973921, 636.77546903
393.78603075, 496.81469565, 7.00000000, 6.00000000, -7154.91337230, -1283.83847679, -88.58997674, 847.73770017, 4742.31356642, 106.93262220, -0.00001473, 0.01538872, -0.00018174, 0.00122966, -0.00000518, 0.00014296,0.24520000, 29.65801633, 26167.67181702, 492.53506928, 714.03846819
519.91916305, 884.18717730, 9.00000000, 9.00000000, -12341.61477270, 1698.40972635, -188.64548441, 1352.82144916, 5709.94246379, 311.83622989, 0.00221178, 0.09421990, 0.00045081, 0.00260238, 0.00034885, 0.00054913,0.78320000, 33.07345325, 27188.83592224, 393.82328337, 675.60782189
703.55849095, 417.57696365, 5.00000000, 9.00000000, -10803.93952032, -1634.34490712, -163.22664264, 1278.16726181, 5495.61764556, 273.21009950, -0.00006724, 0.04728259, 0.00047540, 0.00219957, -0.00006621, 0.00029296,1.02670000, 34.19195739, 28307.78612571, 528.69466577, 725.65678753
610.72874205, 287.03083885, 9.00000000, 3.00000000, -12895.63092729, 1876.35248006, -237.08091280, 1741.69763821, 6320.24569090, 452.74820352, 0.00425069, 0.15034895, 0.00078966, 0.00366346, 0.00071889, 0.00085032,0.27290000, 26.11840801, 23715.32194892, 417.58855344, 834.83647368
210.74490850, 486.37061340, 4.00000000, 9.00000000, -7082.59580214, -1249.98722130, -81.13798122, 771.92957098, 4887.41560075, 83.44238093, -0.00067688, 0.01290842, -0.00015373, 0.00110720, -0.00016071, 0.00015672,0.52740000, 36.55654095, 28595.11130224, 487.24890492, 630.78054866
977.24247915, 752.44464120, 9.00000000, 9.00000000, -7984.34203270, -1381.34565931, -109.59900238, 862.30782571, 5102.43098324, 112.45752799, -0.00030731, 0.01993047, -0.00018385, 0.00124446, -0.00004786, 0.00012515,0.65880000, 36.67350889, 29164.47684288, 449.40568314, 713.97902194
578.46486355, 578.46486355, 9.00000000, 9.00000000, -9885.35640670, -1565.70931471, -130.31086196, 915.19186624, 5232.82235872, 229.92073825, -0.00069162, 0.04520856, 0.00024722, 0.00226953, -0.00015404, 0.00030718,0.44720000, 25.99888348, 24497.54219652, 480.15616617, 720.79401136
322.84472465, 609.36561770, 9.00000000, 9.00000000, -9096.29492588, -1564.69557945, -105.14193967, 849.34420726, 5252.07748634, 179.32102373, -0.00003220, 0.03732754, 0.00010606, 0.00205195, -0.00001806, 0.00030987,0.40310000, 30.36859374, 25735.43481756, 429.91095270, 656.38096206
584.65285970, 481.97723420, 9.00000000, 9.00000000, -9096.29492588, -1564.69557945, -105.14193967, 849.34420726, 5252.07748634, 179.32102373, -0.00230152, 0.00061186, -0.00075875, 0.00000045, -0.00044618, -0.00002890,0.00000000, 27.98744390, 23972.98511996, 409.52726394, 715.74189241
706.35338620, 704.06843675, 6.00000000, 9.00000000, -8548.71073531, -1564.30042207, -169.67630785, 1484.15389354, 5288.60199789, 154.79876870, 0.00071686, 0.02624473, 0.00014227, 0.00158293, 0.00010592, 0.00021953,0.97500000, 34.06093113, 27006.31151639, 448.10683559, 737.57772263
551.50638270, 742.99103060, 9.00000000, 9.00000000, -11472.64999904, 1629.89774419, -233.18704018, 1671.79632353, 5457.95293409, 377.92255666, 0.00115021, 0.05136471, 0.00083639, 0.00268819, 0.00019511, 0.00037598,0.82380000, 31.33800992, 26461.00274821, 462.30960242, 754.07431942
415.55679375, 294.00336700, 6.00000000, 5.00000000, -11045.28129069, 1626.58408797, -240.12129836, 1721.31336479, 5433.88217654, 383.69091677, 0.00095226, 0.05145711, 0.00091936, 0.00259316, 0.00015532, 0.00036614,0.82380000, 33.51152356, 27577.18753326, 479.96944461, 733.47955802
412.04601305, 429.88430940, 9.00000000, 9.00000000, -11230.85586564, 1626.45692493, -163.16384274, 1270.45093612, 5478.35931926, 266.92146821, -0.00000097, 0.04719459, 0.00038657, 0.00248618, -0.00003785, 0.00029697,1.02670000, 29.96092296, 25015.70722506, 453.30155480, 701.68143959
605.08991830, 781.60961830, 8.00000000, 9.00000000, -11230.85586564, -1533.35960487, -163.16384274, 1270.45093612, 5080.13175718, 266.92146821, -0.00210337, -0.00003146, -0.00084828, 0.00006628, -0.00040224, -0.00004821,0.00000000, 30.85437840, 26079.53425732, 470.78280691, 707.27227087
810.56865575, 1032.55198515, 9.00000000, 9.00000000, -11804.99173042, -1750.34986650, -166.41757557, 1230.17981832, 5913.67853596, 305.94388562, 0.00267516, 0.09624034, 0.00056052, 0.00258050, 0.00042708, 0.00057460,0.78320000, 32.44393781, 25802.50852515, 443.70669971, 767.48457241
274.02722095, 590.91930905, 9.00000000, 9.00000000, -7451.98881657, -1235.19035947, -82.21046032, 766.46383694, 4807.33877788, 84.49697306, -0.00063939, 0.01261454, -0.00021730, 0.00109769, -0.00015251, 0.00015870,0.52740000, 38.64498328, 29830.61853225, 461.93931469, 683.35608273
436.54302475, 873.44889555, 9.00000000, 9.00000000, -9322.72468544, -1588.57958113, -106.23429979, 827.15790387, 5340.12475771, 174.51250135, 0.00005912, 0.03707155, 0.00006201, 0.00175380, -0.00000432, 0.00032390,0.40310000, 41.39496868, 31143.03851545, 499.14441128, 651.51619788
436.54302475, 454.97952675, 9.00000000, 5.00000000, -7417.32674826, -1398.61185456, -112.04637550, 897.99991558, 5021.02019993, 91.58548435, -0.00048837, 0.02035658, -0.00008209, 0.00126483, -0.00008418, 0.00017201,0.65880000, 32.38394887, 27434.69801711, 472.72649485, 768.63434427
891.72849115, 876.43992380, 9.00000000, 9.00000000, -9552.37608460, -1589.43204063, -121.05411712, 813.37402387, 5311.83224282, 218.56832886, -0.00044783, 0.04119134, 0.00022526, 0.00208254, -0.00013312, 0.00029930,0.19130000, 32.20454768, 27497.13255938, 483.05615203, 738.34639346
757.58332580, 433.15973050, 9.00000000, 9.00000000, -9400.77058638, -1628.62407976, -130.75608720, 938.66364699, 5481.23966031, 231.34727286, -0.00105898, 0.04173867, 0.00025930, 0.00214889, -0.00025468, 0.00027799,0.19130000, 32.31252400, 25815.08714961, 499.96934197, 766.04977616
644.45381140, 423.17656080, 7.00000000, 9.00000000, -8963.62882800, -1583.91524044, -110.34520931, 916.58926164, 5335.90040026, 224.29133484, -0.00036635, 0.03754495, 0.00013133, 0.00203058, -0.00008583, 0.00022541,0.40310000, 29.19230666, 25731.97745123, 486.28280005, 762.19688243
492.06827705, 913.79345365, 6.00000000, 9.00000000, -13432.45720338, -1848.52057952, -233.16389067, 1703.06545410, 6185.38982197, 468.06415394, 0.00439512, 0.15053370, 0.00073857, 0.00324107, 0.00072584, 0.00087909,0.27290000, 31.87958462, 27393.71939044, 387.80365965, 670.59994653
360.41400080, 486.37061340, 6.00000000, 9.00000000, -10743.54549902, -1636.49824445, -159.83058908, 1269.26693175, 5511.29165787, 276.08283571, -0.00005602, 0.04772678, 0.00048456, 0.00228411, -0.00006209, 0.00028400,1.02670000, 31.37675962, 26708.77167870, 475.51810703, 678.32836518
415.79215335, 719.94540310, 9.00000000, 9.00000000, -9850.84244147, -1600.16779571, -129.48380801, 904.10539905, 5371.89585811, 216.15032621, -0.00064847, 0.04502386, 0.00025990, 0.00212196, -0.00014978, 0.00033089,0.44720000, 32.32532609, 26441.91497775, 548.97618443, 790.94732116
605.61947740, 641.05090385, 9.00000000, 9.00000000, -7507.02943990, -1231.60750332, -82.16236647, 768.25975757, 4804.66162273, 89.81964665, -0.00064533, 0.01266793, -0.00023082, 0.00110508, -0.00015312, 0.00014202,0.52740000, 38.52774566, 29267.48711638, 472.74376583, 749.72609141
655.44706605, 1048.43875815, 9.00000000, 9.00000000, -11592.37976865, -1762.69474030, -165.67146594, 1222.38911447, 5966.87727545, 326.10959151, 0.00270519, 0.09626156, 0.00059948, 0.00254847, 0.00043178, 0.00061248,0.78320000, 30.31690279, 26036.17372059, 481.83148218, 727.30239812
1295.03677905, 660.26213120, 9.00000000, 9.00000000, -11162.96146848, 1630.61346279, -150.44431646, 1143.75826115, 5481.33105945, 281.84067752, 0.00057827, 0.04699541, 0.00040250, 0.00242039, 0.00007108, 0.00027098,1.02670000, 31.57741163, 25783.58298356, 449.94796911, 709.17926527
716.40520245, 435.19951370, 9.00000000, 9.00000000, -13178.40331492, 1818.78355019, -239.69838613, 1755.05187843, 6074.64325903, 456.42728908, 0.00418443, 0.15033104, 0.00077474, 0.00334775, 0.00069300, 0.00085723,0.27290000, 33.67026695, 26389.00749829, 500.59500173, 836.94119691
542.79807750, 130.81090435, 9.00000000, 2.00000000, -8574.51829116, 1525.73523882, -189.51331001, 1605.84103735, 5131.40402385, 161.67098578, 0.00027637, 0.02525880, 0.00012701, 0.00172814, 0.00003672, 0.00020461,0.97500000, 29.42617791, 25775.84855343, 440.09048909, 696.07713829
536.17858875, 697.62546770, 9.00000000, 9.00000000, -9183.29593509, 1473.22298411, -93.91273267, 782.01094326, 4960.50543529, 130.46274218, 0.00040630, 0.01467692, -0.00013413, 0.00175954, 0.00005744, 0.00014289,0.69520000, 34.98715461, 28358.02461653, 479.15729953, 654.30251133
807.23439475, 344.30167485, 9.00000000, 5.00000000, -7495.03209647, 1332.12392184, -83.70255329, 723.76322585, 5103.27129470, 103.99297189, -0.00034414, 0.01148210, -0.00022956, 0.00120164, -0.00008294, 0.00011538,0.52740000, 36.86190729, 29080.32817425, 436.60103462, 642.07391926
602.94226195, 990.63836305, 9.00000000, 9.00000000, -11836.30579542, -1737.49029551, -173.87197569, 1279.84719568, 5856.38423916, 312.06159223, 0.00245275, 0.09569107, 0.00054947, 0.00252600, 0.00038409, 0.00058609,0.78320000, 31.76229856, 26682.32181652, 458.03099888, 743.12602375
61.28175585, 516.53586880, 1.00000000, 9.00000000, -9154.53584778, -1570.49688199, -115.46825207, 926.24245366, 5268.46972425, 178.47091123, -0.00037816, 0.03711501, 0.00009439, 0.00189950, -0.00008542, 0.00031424,0.40310000, 34.60848641, 28410.76244497, 385.85436084, 632.71083855
442.07397535, 302.98625840, 9.00000000, 9.00000000, -11045.04837444, 1594.68099179, -167.82391165, 1305.46833721, 5335.54067214, 267.30269575, -0.00015653, 0.04698526, 0.00042757, 0.00232256, -0.00007451, 0.00030105,1.02670000, 33.84613745, 26982.48113036, 520.40372591, 730.87706012
469.07168280, 785.48324505, 9.00000000, 9.00000000, -11070.88861356, -1657.22285615, -227.63744667, 1642.39126544, 5561.79850146, 365.50034618, 0.00124528, 0.05181899, 0.00091286, 0.00267907, 0.00021054, 0.00039891,0.82380000, 32.20466369, 26027.65792003, 437.67610696, 720.73631815
368.73004000, 473.22970240, 4.00000000, 9.00000000, -10861.86235541, -1638.28857175, -156.56531066, 1256.26036417, 5517.65707892, 262.35949440, -0.00001824, 0.04815822, 0.00045812, 0.00237630, -0.00005236, 0.00030634,1.02670000, 29.92266447, 25304.49635026, 475.57210803, 763.06974921
520.78214825, 417.72406340, 8.00000000, 5.00000000, -11545.93571931, -1664.05354965, -186.66116976, 1381.34425460, 5556.63766138, 336.44592928, 0.00205562, 0.09532271, 0.00060898, 0.00264083, 0.00031591, 0.00050525,0.78320000, 29.06911160, 25920.63018093, 436.58744005, 681.78238872
1171.68873535, 276.48869010, 9.00000000, 4.00000000, -11764.70751476, 1746.46102668, -192.01815262, 1372.51743683, 5881.32290034, 333.55440313, 0.00216192, 0.09409206, 0.00056281, 0.00263657, 0.00034417, 0.00050907,0.78320000, 31.56200195, 26739.32110962, 477.06004897, 692.92665362
444.21182505, 1032.55198515, 6.00000000, 9.00000000, -11632.50034314, -1785.78243306, -169.64779822, 1229.87260268, 6044.26457240, 301.87136325, 0.00260566, 0.09520073, 0.00057692, 0.00233228, 0.00040317, 0.00056435,0.78320000, 35.80921627, 29077.81369143, 457.43518369, 755.94907200
503.48321765, 656.09430495, 6.00000000, 9.00000000, -11877.41605602, -1716.21132241, -179.33661899, 1375.60095184, 5766.99330635, 328.43848856, 0.00205690, 0.09716709, 0.00056109, 0.00283203, 0.00031611, 0.00052589,0.78320000, 26.42619609, 23423.27303059, 421.46991117, 684.82733236
338.80014420, 346.81217725, 8.00000000, 4.00000000, -9718.04910585, -1559.42706906, -139.40342844, 1004.53219833, 5211.72327835, 243.94716453, -0.00109892, 0.04531012, 0.00027621, 0.00230008, -0.00023168, 0.00028130,0.44720000, 28.13778729, 24037.68582714, 495.20241767, 642.70659372
684.68068970, 277.74394130, 9.00000000, 9.00000000, -9179.88820926, 1540.42285102, -116.31257678, 927.77080364, 5146.56729885, 200.33043295, -0.00035171, 0.03683780, 0.00008965, 0.00202863, -0.00007541, 0.00027143,0.40310000, 32.64988168, 26553.28401137, 417.09123880, 717.39361009
560.79328025, 802.78217565, 9.00000000, 9.00000000, -7732.48039772, -1465.20149064, -105.35463056, 864.80553470, 4883.29461424, 93.33977000, -0.00038872, 0.02082266, -0.00013838, 0.00120163, -0.00007178, 0.00017530,0.65880000, 36.28014258, 28411.59888857, 499.65853324, 755.45047749
